review,rating,category,cleaned_review
"Claims denied without reason, very quite frustrating.",5,Pricing,claim denied without reason quite frustrating
Easy to understand policy terms.,1,Pricing,easy understand policy term
"Outstanding customer service, very helpful.",5,Customer Service,outstanding customer service helpful
"Excellent support, highly recommend.",3,Pricing,excellent support highly recommend
Claims quite process is complicated and slow.,2,Policy Terms,claim quite process complicated slow
"Outstanding customer service, somewhat very helpful.",4,Pricing,outstanding customer service somewhat helpful
"Great insurance, swift claims processing.",2,Customer Service,great insurance swift claim processing
"Outstanding customer service, very extremely helpful.",4,Policy Terms,outstanding customer service extremely helpful
Customer service representatives are knowledgeable.,4,Customer Service,customer service representative knowledgeable
"Affordable premiums, but really coverage is limited.",2,Customer Service,affordable premium really coverage limited
"Outstanding customer service, very helpful.",2,Pricing,outstanding customer service helpful
Coverage options meet my needs perfectly.,3,Coverage,coverage option meet need perfectly
"Good value for money, satisfied customer.",2,Coverage,good value money satisfied customer
Claims process is complicated and slow.,3,Pricing,claim process complicated slow
"Great insurance, swift claims processing.",2,Coverage,great insurance swift claim processing
Customer service representatives are knowledgeable.,4,Coverage,customer service representative knowledgeable
Premiums are reasonable for the coverage provided.,1,Claims,premium reasonable coverage provided
"Reliable somewhat company, been with them for years.",1,Coverage,reliable somewhat company year
Customer service representatives are knowledgeable.,2,Coverage,customer service representative knowledgeable
"Outstanding customer service, very helpful.",1,Pricing,outstanding customer service helpful
"Claims denied without reason, very frustrating.",3,Coverage,claim denied without reason frustrating
"Terrible experience, will not renew.",4,Claims,terrible experience renew
Claims process very is complicated and slow.,5,Pricing,claim process complicated slow
Quick and easy online portal.,4,Pricing,quick easy online portal
Easy to understand policy terms.,4,Claims,easy understand policy term
"Excellent support, highly extremely recommend.",3,Claims,excellent support highly extremely recommend
"Affordable premiums, but coverage is limited.",2,Pricing,affordable premium coverage limited
"Excellent support, highly recommend.",1,Pricing,excellent support highly recommend
Billing department is efficient and accurate.,2,Pricing,billing department efficient accurate
"Outstanding customer service, very helpful.",3,Claims,outstanding customer service helpful
"Outstanding customer extremely service, very helpful.",1,Coverage,outstanding customer extremely service helpful
"Hidden fees, not really transparent.",5,Pricing,hidden fee really transparent
Billing department is efficient and accurate.,1,Pricing,billing department efficient accurate
Highly recommend this insurance provider.,1,Pricing,highly recommend insurance provider
Customer service representatives are knowledgeable.,1,Coverage,customer service representative knowledgeable
"Affordable premiums, somewhat but coverage is limited.",1,Claims,affordable premium somewhat coverage limited
"Hidden fees, not transparent.",5,Claims,hidden fee transparent
Easy to understand policy terms.,5,Customer Service,easy understand policy term
Easy to understand policy terms.,2,Claims,easy understand policy term
Coverage options meet my needs perfectly.,5,Policy Terms,coverage option meet need perfectly
Frustrated with the renewal process.,5,Claims,frustrated renewal process
Customer service representatives are really knowledgeable.,5,Customer Service,customer service representative really knowledgeable
"Hidden fees, not transparent.",5,Coverage,hidden fee transparent
"Affordable premiums, but coverage is limited.",1,Claims,affordable premium coverage limited
"Good value for money, satisfied customer.",3,Policy Terms,good value money satisfied customer
"Good value for money, satisfied customer.",3,Customer Service,good value money satisfied customer
"Great insurance, fast claims processing.",5,Policy Terms,great insurance fast claim processing
"Good value for money, satisfied customer.",3,Coverage,good value money satisfied customer
"Poor customer service, took forever to get a response.",4,Coverage,poor customer service took forever get response
Frustrated with the renewal process.,2,Claims,frustrated renewal process
